frame_abs,frame_rel,time_s,mask_pixels,mask_ratio,temp_mean,temp_min,temp_max
950,170,38.000,36343,1.89,104.54,15.45,241.75
951,171,38.040,41358,2.15,99.58,14.25,243.35
952,172,38.080,48042,2.50,94.80,14.25,243.95
953,173,38.120,50515,2.63,97.34,11.75,245.25
954,174,38.160,45882,2.39,94.53,11.75,243.95
955,175,38.200,45854,2.39,89.75,12.35,244.05
956,176,38.240,48312,2.52,85.40,11.75,239.45
957,177,38.280,47221,2.46,89.63,11.45,243.15
958,178,38.320,12638,0.66,20.76,12.35,218.15
959,179,38.360,17414,0.91,80.14,11.05,235.85
960,180,38.400,19487,1.01,27.21,11.75,197.65
961,181,38.440,45261,2.36,102.11,13.25,262.25
962,182,38.480,42816,2.23,113.37,14.95,261.55
963,183,38.520,37946,1.98,110.52,16.35,261.05
964,184,38.560,40109,2.09,108.12,15.45,258.95
965,185,38.600,40463,2.11,108.50,14.95,262.25
966,186,38.640,46277,2.41,103.41,13.65,264.05
967,187,38.680,46289,2.41,102.60,13.25,264.15
968,188,38.720,67352,3.51,107.93,13.25,264.75
969,189,38.760,67030,3.49,113.53,13.65,264.65
970,190,38.800,47613,2.48,108.76,13.65,264.05
971,191,38.840,65734,3.42,99.15,14.25,263.05
972,192,38.880,69873,3.64,98.52,14.55,262.85
973,193,38.920,67846,3.53,101.44,14.55,263.25
974,194,38.960,54843,2.86,97.87,14.95,263.75
975,195,39.000,45401,2.36,100.86,13.65,264.15
976,196,39.040,49440,2.57,103.78,13.65,264.15
977,197,39.080,48580,2.53,98.14,13.25,264.05
978,198,39.120,46707,2.43,91.38,12.35,263.25
979,199,39.160,47854,2.49,89.94,14.25,262.95
980,200,39.200,47791,2.49,90.23,14.25,261.65
981,201,39.240,54459,2.84,83.35,14.25,262.05
982,202,39.280,44411,2.31,79.68,16.35,261.75
983,203,39.320,31401,1.64,111.46,19.35,262.15
984,204,39.360,33675,1.75,114.36,19.65,262.85
985,205,39.400,37012,1.93,110.23,12.75,261.65
986,206,39.440,42712,2.22,101.09,11.75,256.45
987,207,39.480,46301,2.41,101.55,11.45,261.55
988,208,39.520,50773,2.64,103.47,11.45,261.05
989,209,39.560,47621,2.48,104.38,11.75,260.45
990,210,39.600,46838,2.44,97.46,11.75,260.55
991,211,39.640,48190,2.51,80.92,11.05,257.75
992,212,39.680,45305,2.36,82.70,10.55,253.75
993,213,39.720,42050,2.19,75.45,11.05,249.85
994,214,39.760,43984,2.29,63.37,12.75,250.45
995,215,39.800,47684,2.48,73.88,13.65,265.15
996,216,39.840,52211,2.72,79.44,14.25,265.95
997,217,39.880,48732,2.54,83.93,13.25,265.65
998,218,39.920,47852,2.49,81.05,12.75,263.75
999,219,39.960,46871,2.44,89.13,12.75,261.55
1000,220,40.000,51141,2.66,88.12,12.75,259.45
1001,221,40.040,56173,2.93,89.12,12.35,258.95
1002,222,40.080,57283,2.98,91.98,12.75,259.15
1003,223,40.120,50262,2.62,99.79,13.25,258.65
1004,224,40.160,55524,2.89,104.83,12.35,259.95
1005,225,40.200,58629,3.05,104.99,11.75,259.05
1006,226,40.240,61630,3.21,102.10,11.75,260.15
1007,227,40.280,59405,3.09,98.30,11.75,261.65
1008,228,40.320,62058,3.23,83.64,11.05,263.95
1009,229,40.360,55706,2.90,68.78,11.75,264.05
1010,230,40.400,40350,2.10,66.89,11.75,264.75
1011,231,40.440,40341,2.10,61.53,14.55,265.45
1012,232,40.480,40052,2.09,64.18,14.95,266.75
1013,233,40.520,34415,1.79,59.55,16.75,267.25
1014,234,40.560,45669,2.38,74.65,16.35,269.05
1015,235,40.600,45399,2.36,75.46,16.35,270.15
1016,236,40.640,49677,2.59,70.59,16.35,271.15
1017,237,40.680,55264,2.88,79.77,16.35,272.55
